Week,Date,Time,Solar production (kW),Storage production (kW),Load Consumption (kW),Import from grid (kW)
1,9/28/2025,0:00,0,21,6,0
1,9/28/2025,0:05,0,21,3,0
1,9/28/2025,0:10,0,21,6,0
1,9/28/2025,0:15,0,21,5,0
1,9/28/2025,0:20,0,21,6,0
1,9/28/2025,0:25,0,21,6,0
1,9/28/2025,0:30,0,21,6,0
1,9/28/2025,0:35,0,21,5,0
1,9/28/2025,0:40,0,21,7,0
1,9/28/2025,0:45,0,21,7,0
1,9/28/2025,0:50,0,21,5,0
1,9/28/2025,0:55,0,21,5,0
1,9/28/2025,1:00,0,21,6,0
1,9/28/2025,1:05,0,21,6,0
1,9/28/2025,1:10,0,21,5,0
1,9/28/2025,1:15,0,21,5,0
1,9/28/2025,1:20,0,21,5,0
1,9/28/2025,1:25,0,21,6,0
1,9/28/2025,1:30,0,21,5,0
1,9/28/2025,1:35,0,21,6,0
1,9/28/2025,1:40,0,21,6,0
1,9/28/2025,1:45,0,14,4,0
1,9/28/2025,2:00,0,21,6,0
1,9/28/2025,2:05,0,21,5,0
1,9/28/2025,2:10,0,21,7,0
1,9/28/2025,2:15,0,21,6,0
1,9/28/2025,2:20,0,21,7,0
1,9/28/2025,2:25,0,21,6,0
1,9/28/2025,2:30,0,21,6,0
1,9/28/2025,2:35,0,21,5,0
1,9/28/2025,2:40,0,21,8,0
1,9/28/2025,2:45,0,21,6,0
1,9/28/2025,2:50,0,21,5,0
1,9/28/2025,2:55,0,21,6,0
1,9/28/2025,3:00,0,21,6,0
1,9/28/2025,3:05,0,21,5,0
1,9/28/2025,3:10,0,21,6,0
1,9/28/2025,3:15,0,21,5,0
1,9/28/2025,3:20,0,21,6,0
1,9/28/2025,3:25,0,21,7,0
1,9/28/2025,3:30,0,21,7,0
1,9/28/2025,3:35,0,21,6,0
1,9/28/2025,3:40,0,21,7,0
1,9/28/2025,3:45,0,21,6,0
1,9/28/2025,3:50,0,21,6,0
1,9/28/2025,3:55,0,21,6,0
1,9/28/2025,4:00,0,21,7,0
1,9/28/2025,4:05,0,21,7,0
1,9/28/2025,4:10,0,10.5,2.5,0
1,9/28/2025,4:15,0,21,5,0
1,9/28/2025,4:20,0,21,7,0
1,9/28/2025,4:25,0,21,5,0
1,9/28/2025,4:30,0,21,6,0
1,9/28/2025,4:35,0,21,5,0
1,9/28/2025,4:40,0,10.5,3,0
1,9/28/2025,4:45,0,21,6,0
1,9/28/2025,4:50,0,21,5,0
1,9/28/2025,4:55,0,21,4,0
1,9/28/2025,5:00,0,21,7,0
1,9/28/2025,5:05,0,21,7,0
1,9/28/2025,5:10,0,21,5,0
1,9/28/2025,5:15,0,21,7,0
1,9/28/2025,5:20,0,21,7,0
1,9/28/2025,5:25,0,21,6,0
1,9/28/2025,5:30,0,21,6,0
1,9/28/2025,5:35,0,21,7,0
1,9/28/2025,5:40,0,21,6,0
1,9/28/2025,5:45,0,21,6,0
1,9/28/2025,5:50,0,21,6,0
1,9/28/2025,5:55,0,21,6,0
1,9/28/2025,6:00,0,21,7,0
1,9/28/2025,6:05,0,21,5,0
1,9/28/2025,6:10,0,21,7,0
1,9/28/2025,6:15,0,21,8,0
1,9/28/2025,6:20,0,21,7,0
1,9/28/2025,6:25,0,21,5,0
1,9/28/2025,6:30,0,21,7,0
1,9/28/2025,6:35,5,5,6,0
1,9/28/2025,6:40,8,0,6,0
1,9/28/2025,6:45,23,0,6,0
1,9/28/2025,6:50,28,0,6,0
1,9/28/2025,6:55,31,0,5,0
1,9/28/2025,7:00,51,0,4,0
1,9/28/2025,7:05,73,0,6,0
1,9/28/2025,7:10,81,0,5,0
1,9/28/2025,7:15,91,0,8,0
1,9/28/2025,7:20,97,0,5,0
1,9/28/2025,7:25,121,0,4,0
1,9/28/2025,7:30,111,0,6,0
1,9/28/2025,7:35,120,0,4,0
1,9/28/2025,7:40,173,0,6,0
1,9/28/2025,7:45,201,0,6,0
1,9/28/2025,7:50,191,0,5,0
1,9/28/2025,7:55,227,0,4,0
1,9/28/2025,8:00,342,0,6,0
1,9/28/2025,8:05,538,0,4,0
1,9/28/2025,8:10,394,0,4,0
1,9/28/2025,8:15,486,0,6,0
1,9/28/2025,8:20,591,0,5,0
1,9/28/2025,8:25,633,0,5,0
1,9/28/2025,8:30,580,0,5,0
1,9/28/2025,8:35,421,0,4,0
1,9/28/2025,8:40,342,0,5,0
1,9/28/2025,8:45,359,0,7,0
1,9/28/2025,8:50,321,0,5,0
1,9/28/2025,8:55,395,0,6,0
1,9/28/2025,9:00,521,0,5,0
1,9/28/2025,9:05,770,0,5,0
1,9/28/2025,9:10,749,0,4,0
1,9/28/2025,9:15,537,0,6,0
1,9/28/2025,9:25,299.5,0,3,0
1,9/28/2025,9:30,747,0,5,0
1,9/28/2025,9:35,574,0,6,0
1,9/28/2025,9:40,510,0,7,0
1,9/28/2025,9:45,357,0,5,0
1,9/28/2025,9:50,478,0,5,0
1,9/28/2025,9:55,508,0,5,0
1,9/28/2025,10:00,688,0,6,0
1,9/28/2025,10:05,38,0,4,0
1,9/28/2025,10:10,302,0,279,0
1,9/28/2025,10:15,211,0,201,0
1,9/28/2025,10:20,412,0,389,0
1,9/28/2025,10:25,422,0,383,0
1,9/28/2025,10:30,189.5,0,191.5,0
1,9/28/2025,10:35,395,0,537,0
1,9/28/2025,10:40,636,0,387,0
1,9/28/2025,10:45,415,0,390,0
1,9/28/2025,10:50,717,0,384,0
1,9/28/2025,10:55,415,0,400,0
1,9/28/2025,11:00,689,0,371,0
1,9/28/2025,11:05,505,0,380,0
1,9/28/2025,11:10,570,0,542,0
1,9/28/2025,11:15,418,0,403,0
1,9/28/2025,11:20,607,0,580,0
1,9/28/2025,11:25,329,0,321,0
1,9/28/2025,11:30,506,0,478,0
1,9/28/2025,11:35,329,0,330,0
1,9/28/2025,11:40,348,0,316,0
1,9/28/2025,11:45,357,0,325,0
1,9/28/2025,11:50,338,0,303,0
1,9/28/2025,11:55,338,0,324,0
1,9/28/2025,12:00,338,0,321,0
1,9/28/2025,12:05,324,0,310,0
1,9/28/2025,12:10,679,0,306,0
1,9/28/2025,12:15,343,0,308,0
1,9/28/2025,12:20,323,0,306,0
1,9/28/2025,12:25,342,0,308,0
1,9/28/2025,12:30,338,0,301,0
1,9/28/2025,12:35,338,0,464,0
1,9/28/2025,12:40,314,0,303,0
1,9/28/2025,12:45,486,0,473,0
1,9/28/2025,12:50,312,0,298,0
1,9/28/2025,12:55,287,0,274,0
1,9/28/2025,13:00,310,0,296,0
1,9/28/2025,13:05,307,0,297,0
1,9/28/2025,13:10,383,0,366,0
1,9/28/2025,13:15,169,0,163.5,0
1,9/28/2025,13:20,340,0,327,0
1,9/28/2025,13:25,305,0,293,0
1,9/28/2025,13:30,455,0,452,0
1,9/28/2025,13:35,340,0,330,0
1,9/28/2025,13:40,478,0,461,0
1,9/28/2025,13:45,323,0,307,0
1,9/28/2025,13:50,577,0,314,0
1,9/28/2025,13:55,588,0,310,0
1,9/28/2025,14:00,600,0,356,0
1,9/28/2025,14:05,287,0,285,0
1,9/28/2025,14:10,247,0,214,0
1,9/28/2025,14:15,265,0,237,0
1,9/28/2025,14:20,265,0,233,0
1,9/28/2025,14:25,270,0,236,0
1,9/28/2025,14:30,480,0,235,0
1,9/28/2025,14:35,270,11,283,0
1,9/28/2025,14:40,153,126,280,0
1,9/28/2025,14:45,297,163,464,0
1,9/28/2025,14:50,251,32,298,0
1,9/28/2025,14:55,424,0,431,0
1,9/28/2025,15:00,327,0,312,0
1,9/28/2025,15:05,236,48,301,0
1,9/28/2025,15:10,167,155,332,0
1,9/28/2025,15:15,489,0,499,0
1,9/28/2025,15:20,567,0,324,0
1,9/28/2025,15:25,460,0,306,0
1,9/28/2025,15:30,379,0,209,0
1,9/28/2025,15:35,246,0,142,0
1,9/28/2025,15:40,239,0,135,0
1,9/28/2025,15:45,346,0,130,0
1,9/28/2025,15:50,493,389,904,0
1,9/28/2025,15:55,533,0,126,0
1,9/28/2025,16:00,128,0,121,0
1,9/28/2025,16:05,178,0,135,0
1,9/28/2025,16:10,250,0,210,0
1,9/28/2025,16:15,294,0,275,0
1,9/28/2025,16:20,308,0,274,0
1,9/28/2025,16:25,302,0,267,0
1,9/28/2025,16:30,305,0,282,0
1,9/28/2025,16:35,288,11,325,0
1,9/28/2025,16:40,311,0,274,0
1,9/28/2025,16:45,362,0,308,0
1,9/28/2025,16:50,410,16,389,0
1,9/28/2025,16:55,431,33,400,0
1,9/28/2025,17:00,294,0,276,0
1,9/28/2025,17:05,350,0,325,0
1,9/28/2025,17:10,313,0,283,0
1,9/28/2025,17:15,314,0,269,0
1,9/28/2025,17:20,308,0,260,0
1,9/28/2025,17:25,314,0,255,0
1,9/28/2025,17:30,305,0,280,0
1,9/28/2025,17:35,230,0,212,0
